"latitude","longitude","date"
40.36207,-81.18504,"3/2/2010"
40.24786,-81.15179,"3/19/2012"
40.16912,-80.62003,"2/6/2020"
40.26059,-81.22332,"2/16/2020"
40.30527,-80.93864,"2/16/2020"
40.40611,-81.13733,"2/29/2020"
40.30824,-81.24778,"3/4/2020"
40.40192,-81.08803,"2/3/2021"
39.39935,-82.52238,"10/31/1980"
39.58157,-82.36887,"7/11/2000"
NA,NA,""
39.56573,-82.49833,"6/25/2017"
39.57143,-82.49968,"8/13/2017"
40.61286,-82.17295,"6/21/2012"
40.61286,-82.17295,"6/28/2012"
40.62731,-82.12366,"1/5/2013"
40.59307,-82.14194,"5/27/2013"
40.60291,-82.16943,"8/24/2013"
41.06939,-82.36591,"8/24/2015"
40.36957,-80.77387,"11/1/1981"
40.54269,-80.89606,"8/7/1987"
40.2831,-80.78826,"12/31/1988"
40.39103,-80.6937,"9/30/1997"
40.3725,-80.67828,"6/1/2001"
40.42591,-80.6616,"5/1/2004"
40.29771,-80.75612,"8/14/2020"
40.36887,-80.81801,"7/24/2021"
NA,NA,""
38.60551,-82.71107,"2/24/1991"
40.05998,-82.28814,"1/15/1984"
39.74107,-82.70263,"6/29/2000"
41.42364,-82.82491,"10/29/2000"
40.26494,-83.0556,"7/15/1976"
41.34728,-84.54476,"1/1/1977"
NA,NA,""
41.2625,-84.38103,"5/24/1998"
39.03501,-84.1317,"6/16/2009"
39.92821,-83.64597,"11/1/1989"
40.04792,-83.5556,"5/1/1983"
40.54605,-81.26217,"8/1/1976"
39.49695,-84.45905,"6/1/1986"
38.81772,-83.80582,"7/27/1986"
40.01784,-80.93318,"11/5/1994"
NA,NA,""
39.4484,-82.2244,"7/1/1980"
39.45789,-82.24257,"9/1/1994"
39.47642,-82.24155,"11/19/1998"
NA,NA,""
39.28537,-81.85331,"5/16/2002"
NA,NA,""
39.86019,-81.20422,"10/15/2002"
40.01983,-81.07013,"5/23/2014"
39.91209,-81.04791,"10/4/2015"
40.10975,-80.85938,"1/21/2018"
40.10084,-81.14331,"4/11/2020"
NA,NA,""
38.64301,-83.69977,"1/30/2010"
39.37215,-84.80138,"6/6/2001"
39.37509,-84.79429,"7/14/2002"
40.68514,-81.02382,"10/17/2001"
40.71737,-81.18352,"5/30/2005"
40.64049,-80.90944,"5/10/2009"
40.01979,-83.56088,"10/15/1983"
39.92104,-83.95184,"9/15/1993"
39.85461,-83.94906,"10/15/1998"
39.86096,-83.96562,"10/15/2000"
39.89216,-83.96123,"11/24/2000"
39.01569,-84.08533,"12/7/2014"
39.00175,-84.14354,"9/13/2015"
NA,NA,""
38.99484,-84.10731,"4/21/2018"
40.6807,-80.57164,"6/30/1971"
40.63606,-80.53528,"8/30/1973"
40.76533,-80.55217,"6/1/1980"
40.69334,-80.57396,"6/15/1980"
40.70386,-80.58332,"6/15/1982"
40.72943,-80.59236,"10/1/1997"
40.68935,-80.57593,"7/16/2001"
40.77972,-80.64831,"11/1/2001"
40.725,-80.616,"1/10/2007"
40.73206,-80.61996,"6/14/2008"
40.87496,-80.7291,"11/22/2012"
40.92344,-80.84042,"10/20/2015"
40.35097,-81.99847,"5/19/1988"
40.2287,-81.96845,"3/15/1998"
40.3244,-81.99955,"5/7/2000"
40.25597,-82.1334,"4/15/2001"
40.15002,-83.02854,"8/15/1989"
41.17222,-82.34181,"1/2/2013"
39.5246,-82.6353,"4/3/2004"
39.59947,-82.63536,"10/9/2010"
NA,NA,""
39.6279,-82.83647,"1/20/2020"
40.08159,-83.0337,"5/15/1987"
39.89203,-83.00142,"6/1/1997"
41.81902,-80.58163,"11/1/1976"
40.85035,-82.29486,"7/1/1963"
40.73412,-84.06565,"3/15/1987"
38.89665,-83.40573,"1/31/1981"
36.13222,-95.79677,"8/15/1966"
34.38638,-98.99414,"3/19/1987"
35.56637,-94.98001,"4/18/2008"
35.26808,-96.60222,"11/4/1974"
36.18889,-95.74556,"10/9/2003"
35.76152,-99.93007,"10/1/1983"
34.86111,-96.66528,"2/6/2002"
34.81417,-95.65417,"2/10/2005"
35.97389,-97.03333,"11/15/1997"
36.94679,-94.71512,"3/16/2001"
36.62116,-96.12164,"8/7/2009"
35.64389,-97.45694,"1/15/1982"
35.42014,-97.21555,"3/26/2004"
35.53925,-97.67827,"4/15/2019"
NA,NA,""
36.02306,-97.1225,"12/30/1997"
NA,NA,""
34.6021,-95.11875,"11/24/2011"
34.50572,-95.12156,"10/30/2021"
NA,NA,""
NA,NA,""
NA,NA,""
36.37919,-95.80589,"10/16/2020"
38.83859,-83.28128,"4/26/1999"
38.73687,-83.39134,"5/26/2002"
NA,NA,""
39.11929,-83.40022,"8/8/2011"
NA,NA,""
38.82795,-83.56633,"6/17/2017"
40.65572,-83.93892,"11/1/1999"
40.82327,-82.32803,"9/15/1991"
40.99562,-82.38627,"4/7/2003"
40.60787,-82.26236,"8/29/2004"
40.61111,-82.29642,"9/18/2015"
40.65099,-82.33575,"8/18/2020"
40.8557,-82.26972,"4/24/2021"
40.81139,-82.26806,"6/9/2021"
40.61309,-82.31692,"6/18/2021"
41.81835,-80.93665,"7/1/1991"
41.72735,-80.54558,"5/30/1999"
41.72134,-80.88494,"12/28/2000"
41.81429,-80.84143,"9/22/2007"
41.81287,-80.95952,"7/15/2011"
41.76702,-80.98022,"3/14/2013"
41.85256,-80.96186,"2/15/2014"
36.91528,-95.80417,"10/20/2003"
35.70166,-95.70208,"9/28/1997"
34.495,-96.972,"10/31/1996"
35.36895,-95.97023,"8/25/1986"
36.879,-95.1695,"10/14/1987"
33.89444,-96.75361,"7/15/1997"
NA,NA,""
33.82444,-97.07361,"12/22/2004"
35.74111,-97.479,"7/7/1997"
35.86972,-96.968,"1/31/2003"
35.00278,-95.34111,"7/15/1977"
NA,NA,""
35.27056,-95.97,"2/11/2003"
34.73153,-99.81514,"4/1/1942"
34.21174,-96.63857,"10/4/2009"
34.92333,-95.26167,"5/14/2004"
34.72195,-94.96639,"10/25/1971"
34.75139,-95.04778,"11/28/1999"
34.61361,-94.84861,"1/28/2000"
34.44333,-94.65639,"7/1/2000"
34.84167,-94.63111,"3/20/2001"
34.53889,-94.93722,"4/22/2001"
34.52667,-94.70278,"10/2/2001"
34.59583,-94.55944,"6/27/2002"
34.52436,-94.91928,"4/2/2004"
34.689,-94.7325,"4/30/2004"
34.695,-94.685,"11/27/2004"
34.78833,-94.70667,"12/14/2004"
34.64583,-94.575,"2/14/2005"
34.74338,-94.7297,"1/17/2007"
34.73966,-94.7264,"8/31/2008"
NA,NA,""
34.49108,-94.49968,"10/1/2009"
NA,NA,""
34.4082,-94.38045,"3/18/2012"
35.0271,-94.66875,"5/15/2012"
34.8146,-94.66875,"9/15/2012"
34.4415,-94.4325,"4/3/2020"
34.64856,-94.46039,"8/12/2022"
35.68583,-97.00389,"7/7/2005"
35.68081,-97.26022,"5/16/2003"
NA,NA,""
36.22935,-95.2419,"6/15/2015"
35.24194,-97.5625,"9/24/2004"
34.39639,-95.01167,"1/28/2000"
