"latitude","longitude","county"
44.4625,-121.9683,"Linn County"
44.40946,-122.1322,"Linn County"
NA,NA,"Linn County"
44.8633,-122.6397,"Marion County"
44.8623,-122.2728,"Marion County"
45.03575,-122.7789,"Marion County"
44.915,-122.585,"Marion County"
NA,NA,"Marion County"
44.79307,-122.5674,"Marion County"
44.7679,-122.095,"Marion County"
44.699,-122.1874,"Marion County"
45.11259,-122.7875,"Marion County"
45.5145,-122.3352,"Multnomah County"
45.63893,-122.8889,"Multnomah County"
45.65125,-121.9123,"Multnomah County"
45.55364,-122.1884,"Multnomah County"
45.4684,-122.2487,"Multnomah County"
NA,NA,"Multnomah County"
44.8458,-123.5834,"Polk County"
44.86875,-123.4462,"Polk County"
45.06215,-123.7027,"Polk County"
45.07072,-123.6664,"Polk County"
45.0487,-123.5792,"Polk County"
45.0608,-123.694,"Polk County"
NA,NA,"Polk County"
45.145,-123.972,"Tillamook County"
45.75449,-123.866,"Tillamook County"
45.59669,-123.3768,"Tillamook County"
45.5891,-123.5469,"Tillamook County"
45.7351,-123.466,"Tillamook County"
45.61308,-123.3973,"Tillamook County"
NA,NA,"Tillamook County"
45.59864,-123.6113,"Tillamook County"
NA,NA,"Curry County"
44.0639,-120.2782,"Crook County"
43.2547,-124.0598,"Coos County"
45.82565,-123.296,"Columbia County"
46.2262,-124.0133,"Clatsop County"
NA,NA,"Clatsop County"
NA,NA,"Benton County"
44.68557,-118.0891,"Baker County"
NA,NA,"Wayne County"
40.04755,-80.25645,"Washington County"
NA,NA,"Warren County"
NA,NA,"Somerset County"
41.70813,-77.99314,"Potter County"
NA,NA,"Perry County"
NA,NA,"Perry County"
40.8495,-75.327,"Northampton County"
41.845,-77.7011,"Potter County"
NA,NA,"Potter County"
41.7655,-77.8768,"Potter County"
41.94126,-77.62891,"Potter County"
NA,NA,"Somerset County"
NA,NA,"Susquehanna County"
41.79985,-75.9799,"Susquehanna County"
41.50383,-75.23662,"Wayne County"
40.32247,-79.16817,"Westmoreland County"
