"latitude","longitude"
43.3622,-122.1814
43.296,-122.5541
43.61538,-123.5036
44.7751,-118.7717
44.5385,-118.5908
44.9723,-118.3692
43.85975,-118.8215
45.3725,-121.5835
45.5666,-121.7745
NA,NA
45.5775,-121.6444
45.54478,-121.5449
NA,NA
NA,NA
45.49805,-121.8214
45.25725,-121.5684
45.274,-121.6796
45.63923,-121.8735
45.38736,-121.5134
42.4356,-122.2328
NA,NA
42.08845,-122.7465
NA,NA
42.2356,-123.0137
42.6,-122.475
42.12363,-122.339
44.42565,-121.726
NA,NA
42.375,-123.3833
42.02106,-123.2725
42.1533,-123.5381
42.16298,-123.6481
42.56805,-123.3322
NA,NA
NA,NA
42.09224,-123.4043
42.39031,-123.449
42.24165,-123.6416
42.0833,-123.3333
42.354,-123.4034
42.16024,-123.6216
42.22501,-123.75
42.125,-123.2916
NA,NA
42.8673,-122.1629
NA,NA
NA,NA
42.47,-122.275
43.08929,-122.0802
42.23865,-121.9446
42.36945,-121.3866
44.15568,-121.9531
43.9311,-124.1214
43.69005,-122.3755
44.09462,-123.3724
44.19167,-123.975
NA,NA
43.6947,-122.0449
43.7667,-123.455
44.27795,-121.9524
43.5883,-122.0833
43.6165,-122.1
43.6583,-122.8042
NA,NA
NA,NA
44.05917,-122.9343
43.85062,-122.7085
NA,NA
NA,NA
44.6616,-122.8494
44.4625,-121.9683
44.40946,-122.1322
NA,NA
44.8633,-122.6397
44.8623,-122.2728
45.03575,-122.7789
44.915,-122.585
NA,NA
44.79307,-122.5674
44.7679,-122.095
44.699,-122.1874
45.11259,-122.7875
45.5145,-122.3352
45.63893,-122.8889
45.65125,-121.9123
45.55364,-122.1884
45.4684,-122.2487
NA,NA
44.8458,-123.5834
44.86875,-123.4462
45.06215,-123.7027
45.07072,-123.6664
45.0487,-123.5792
45.0608,-123.694
NA,NA
45.145,-123.972
45.75449,-123.866
45.59669,-123.3768
45.5891,-123.5469
45.7351,-123.466
45.61308,-123.3973
NA,NA
45.59864,-123.6113
NA,NA
44.0639,-120.2782
43.2547,-124.0598
45.82565,-123.296
46.2262,-124.0133
NA,NA
NA,NA
44.68557,-118.0891
NA,NA
40.04755,-80.25645
NA,NA
NA,NA
41.70813,-77.99314
NA,NA
NA,NA
40.8495,-75.327
41.845,-77.7011
NA,NA
41.7655,-77.8768
41.94126,-77.62891
NA,NA
NA,NA
41.79985,-75.9799
41.50383,-75.23662
40.32247,-79.16817
NA,NA
40.5258,-79.6575
40.43163,-79.58031
NA,NA
45.0018,-117.2022
NA,NA
44.58335,-123.4166
44.6693,-123.2433
44.50455,-123.5524
45.4237,-122.3876
NA,NA
NA,NA
45.3894,-122.4163
NA,NA
45.0837,-122.4888
NA,NA
44.99745,-122.1647
45.33,-121.9165
44.9979,-122.1631
45.12545,-122.533
NA,NA
45.32301,-121.7115
45.03255,-122.4808
45.40023,-122.2777
44.97487,-122.3057
45.33175,-121.9139
45.3207,-121.9547
45.1867,-122.3803
44.9633,-122.4
44.95023,-122.2347
45.31061,-121.8388
NA,NA
NA,NA
NA,NA
45.1518,-122.1032
NA,NA
46.19945,-123.9513
NA,NA
45.99378,-123.9211
45.70835,-123.625
45.93701,-123.5417
46.03193,-123.4573
45.7492,-122.9546
45.85606,-123.1691
NA,NA
40.1,-124.2
43.54165,-123.875
NA,NA
43.1786,-124.3688
43,-124.43
43.27402,-123.9834
42.28445,-124.2148
42.6425,-124.0255
NA,NA
42.82,-124.53
42.4018,-124.426
42.07,-124.3
42.08,-124.3
NA,NA
41.115,-75.205
40.61798,-77.62407
41.21365,-80.26563
NA,NA
41.32501,-75.74288
NA,NA
39.72785,-76.2074
NA,NA
NA,NA
40.33498,-77.85934
NA,NA
NA,NA
NA,NA
41.47511,-79.3178
NA,NA
41.91826,-80.54177
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
40.05148,-79.56702
NA,NA
NA,NA
41.51954,-78.87955
NA,NA
NA,NA
NA,NA
40.60756,-79.20052
41.02176,-74.53322
NA,NA
NA,NA
NA,NA
NA,NA
41.4065,-76.804
41.9548,-78.65621
41.97226,-78.66863
NA,NA
41.73315,-78.93985
NA,NA
NA,NA
NA,NA
NA,NA
41.07374,-80.12229
41.05,-80.50751
NA,NA
NA,NA
NA,NA
41.01865,-78.377
NA,NA
39.73523,-76.04183
NA,NA
40.36382,-78.87788
NA,NA
NA,NA
NA,NA
40.50322,-80.19804
NA,NA
NA,NA
41.98067,-71.6568
41.81391,-71.74425
39.76366,-77.27178
NA,NA
NA,NA
NA,NA
NA,NA
40.357,-79.8765
40.29929,-79.8944
NA,NA
40.5833,-79.9167
40.52825,-80.25475
40.5278,-79.7668
40.6166,-80.0107
NA,NA
40.60946,-80.3293
NA,NA
40.4225,-75.06665
40.37726,-75.37814
40.1316,-74.85745
NA,NA
40.94997,-80.07443
40.92895,-80.07216
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
40.65083,-78.52589
40.29074,-78.85725
40.45896,-78.80971
41.34404,-78.04547
NA,NA
40.97015,-78.42314
NA,NA
41.12782,-78.5826
NA,NA
NA,NA
NA,NA
NA,NA
41.31268,-78.39445
NA,NA
NA,NA
35.148,-81.861
34.0431,-80.80685
34.52414,-82.38998
34.39092,-81.54448
NA,NA
NA,NA
